,Stock Name,Change,Date,QT,Sector,Market Cap,Ticker Twitter Sentiment,Company Name Twitter Sentiment,Week's Headline Sentiment,Month's Headline Sentiment,Quarter's Headline Sentiment,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Company,Industry,Country,P/E,Price,Volume,EPS Time,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Fwd P/E,P/B,P/C,P/FCF,P/S,PEG,Sales past 5Y,Curr R,Debt/Eq,Divident,Earnings,Gross M,LTDebt/Eq,Oper M,Profit M,Quick R,ROA,ROE,ROI,Avg Volume,Float,Float Short,Insider Own,Insider Trans,Inst Own,Inst Trans,Outstanding,Short Ratio,Perf Half,Perf Month,Perf Quart,Perf Week,Perf YTD,Perf Year,Recom,Rel Volume,Volatility M,Volatility W,52W High,52W Low,ATR,Beta,Gap,RSI,SMA20,SMA200,SMA50,from Open,pricediff,results
11,MSM,0.09%,8-Jan,1,Services,4260000000.0,-0.278389052,0.00029555,0.000372955,0.005227339,0.07880580200000001,4-Sell ,HOLD,,D,"MSC Industrial Direct Co., Inc.",Industrial Equipment Wholesale,USA,14.59,75.93,979566.0,Tomorrow Before Market EPS,1.5,5.86,6.7,2.3,14.36,2.83,131.85,32.54,1.27,9.73,3.8,2.7,0.3,3.95,Jan 08/b,42.6,0.18,11.9,8.6,1.4,12.5,20.3,15.9,491460.0,44360000.0,6.24,0.7,-2.44,98.7,0.33,56090000.0,5.63,5.06,5.78,11.12,-3.9,-3.24,-1.18,3.2,1.99,1.63,1.56,-12.59,17.56,1.26,0.9,-0.22,46.04,-0.59,2.69,0.98,-0.6,0.09,0
12,RPM,-1.67%,8-Jan,1,Basic Materials,9830000000.0,0.412673301,0.029081255,0.007397089,0.012697635,0.031078153,3-Hold ,BUY,,B,RPM International Inc.,Specialty Chemicals,USA,33.63,74.97,1364066.0,Tomorrow Before Market EPS,14.7,22.46,-2.2,-23.7,18.19,7.19,46.34,,1.76,2.29,4.9,1.6,1.94,1.92,Jan 08/b,41.0,1.5,,,1.0,,,9.2,660320.0,127970000.0,1.54,1.1,-1.32,77.8,0.07,131110000.00000001,2.98,22.48,2.25,10.23,-1.58,-2.33,41.96,2.4,2.07,1.38,1.72,-3.23,44.31,1.11,1.24,0.37,49.98,-0.31,13.83,1.13,-0.09,-1.67,0
13,SCHN,0.05%,8-Jan,1,Basic Materials,588720000.0,0.159642278,0.000344446,0.002398653,-0.000587403,-0.029495545,3-Hold ,HOLD,,D,"Schnitzer Steel Industries, Inc.",Steel & Iron,USA,10.8,21.66,291616.0,Tomorrow Before Market EPS,10.0,55.11,44.0,-51.9,13.09,0.85,47.48,19.96,0.28,1.08,-3.4,1.7,0.15,3.46,Jan 08/b,12.9,0.15,3.9,2.6,1.0,5.1,8.2,8.3,199590.0,26090000.0,7.88,5.1,-4.67,94.5,0.43,27180000.0,10.3,-12.06,-0.73,9.78,-0.78,-0.09,-4.75,3.3,1.46,2.18,2.16,-21.15,15.95,0.5,1.35,-0.28,45.78,-1.46,-6.14,-0.14,0.42,0.05,0
14,STZ,3.64%,8-Jan,1,Consumer Goods,34820000000.0,0.003790504,0.009173707,-0.045125168,0.007431836,0.011114714,3-Hold ,BUY,,C,"Constellation Brands, Inc.",Beverages - Wineries & Distillers,USA,63.57,183.6,2278562.0,Tomorrow Before Market EPS,6.11,7.96,12.1,79.3,19.97,3.09,400.18,39.0,4.24,10.41,10.8,1.6,1.14,1.63,Jan 08/b,49.7,1.07,28.7,9.4,1.0,2.7,6.5,6.4,1070000.0,151470000.0,4.81,0.4,-20.8,85.0,0.09,189630000.0,6.82,-7.29,0.62,-2.72,-2.53,-3.24,7.92,2.1,2.13,1.64,2.21,-14.4,22.1,3.24,0.73,-0.64,42.36,-1.13,-5.44,-1.53,-2.95,3.64,1
15,WBA,-5.84%,8-Jan,1,Services,52650000000.0,0.095554132,-0.045630771,0.01178789,-0.048480209,-0.070314264,3-Hold ,HOLD,,F,"Walgreens Boots Alliance, Inc.",Drug Stores,USA,13.79,59.29,4360665.0,Tomorrow Before Market EPS,2.51,3.85,14.5,-12.4,9.63,2.27,51.47,23.4,0.38,5.51,12.4,0.7,0.72,3.09,Jan 08/b,22.0,0.47,3.7,2.9,0.4,5.8,16.2,10.9,5640000.0,739550000.0,2.63,0.2,-20.2,63.4,0.03,887990000.0,3.44,6.83,0.32,12.38,0.65,0.56,-15.26,3.2,0.77,1.6,1.67,-20.89,20.93,0.98,0.9,-0.62,55.25,1.44,7.61,0.47,0.12,-5.84,0
16,INFY,2.48%,January9,1,Technology,42800000000.0,0.12770825712696024,0.17048254769097185,0.0013488618375655885,0.003848437340330317,0.0032084409462095212,4-Sell ,HOLD,,C,Infosys Limited,Information Technology Services,India,20.06,10.35,6591256.0,Tomorrow Before Market EPS,8.0,10.19,147.2,-0.3,16.96,5.05,15.56,145.24,3.49,2.51,151.3,2.5,0.07,2.18,Jan 10/b,33.4,0.06,21.0,17.7,2.5,18.3,25.1,19.3,15530000.0,4010000000.0,1.22,18.2,0.0,18.7,-0.24,4240000000.0,3.15,-3.72,1.51,-9.26,-2.23,-2.23,4.05,2.7,1.16,1.06,0.93,-14.32,18.15,0.12,0.49,1.09,60.44,1.49,-2.64,4.31,1.47,2.48,1
17,KBH,-3.48%,January9,1,Industrial Goods,3230000000.0,0.10247819709557007,0.03041609859451455,0.061754734231065166,0.04525293561589933,0.021558828309634917,3-Hold ,BUY,,A,KB Home,Residential Construction,USA,14.58,37.17,749154.0,Today After Market EPS,7.6,20.47,43.8,52.3,10.88,1.44,17.49,,0.74,1.92,16.7,,0.82,0.97,Jan 09/a,18.0,0.82,4.8,4.0,,3.5,8.0,6.5,1530000.0,70300000.0,4.21,2.1,-24.42,97.3,0.32,87380000.0,1.93,40.58,8.22,9.18,7.97,7.97,75.19,2.5,1.34,2.31,2.23,-0.75,92.78,0.82,1.1,1.19,70.67,7.44,25.82,7.48,-0.85,-3.48,0
18,SLP,8.46%,January9,1,Technology,534890000.0,0.014777861073434906,0.010109528651203922,-0.005096016648167279,0.010669250901264605,-0.007663901520746074,3-Hold ,BUY,,A,"Simulations Plus, Inc.",Business Software & Services,USA,64.42,31.2,35563.0,Today After Market EPS,20.0,25.93,20.9,14.2,45.0,14.23,46.92,73.27,15.73,3.22,24.3,4.4,0.0,0.78,Jan 09/a,73.4,0.0,31.1,25.3,4.4,19.5,24.6,23.0,113780.0,12540000.0,8.52,28.2,-1.92,47.0,0.91,17480000.0,9.39,4.22,-6.05,-8.57,5.26,5.26,49.71,2.0,0.86,4.03,5.51,-25.47,71.69,1.36,-0.47,0.59,45.16,-4.09,1.14,-6.37,1.58,8.46,1
19,SNX,13.32%,January9,1,Technology,6520000000.0,0.2737447332972806,-0.022593465661581533,-0.2026313447737872,-0.1343459975163973,0.05883053984569862,3-Hold ,STRONG BUY,,B,SYNNEX Corporation,Information Technology Services,USA,14.24,128.1,132184.0,Today After Market EPS,11.35,4.63,14.9,6.4,9.63,1.78,,,0.29,1.25,13.1,1.6,0.92,1.18,Jan 09/a,12.1,0.77,3.1,1.8,1.0,3.6,11.6,6.2,285960.0,41160000.0,4.04,0.8,-13.32,79.4,0.01,51360000.0,5.81,32.12,0.94,14.4,-1.44,-1.44,52.2,1.1,1.26,1.5,1.51,-2.1,63.22,2.04,1.0,0.65,55.36,-0.21,22.32,3.52,0.34,13.32,1
20,WDFC,-3.56%,January9,1,Basic Materials,2610000000.0,0.002007747379866487,0.2282150727682165,0.01887225843165652,-0.12265686343804798,-0.040697599554872656,3-Hold ,HOLD,,C,WD-40 Company,Specialty Chemicals,USA,40.84,191.91,31743.0,Today After Market EPS,10.0,12.19,10.1,12.4,35.32,17.92,95.93,156.24,6.16,4.08,2.0,2.0,0.56,1.41,Jan 09/a,54.9,0.41,19.4,13.1,1.4,18.2,36.6,29.2,85730.0,13450000.0,15.35,1.8,-0.57,88.6,0.12,13750000.0,24.08,8.35,-2.77,3.14,-2.26,-2.26,5.73,2.5,1.01,1.38,1.86,-3.9,24.55,2.74,0.21,0.13,48.15,-1.27,7.88,0.44,0.89,-3.56,0
21,C,2.87%,January13,1,Financial,174830000000.0,0.15904596648033476,0.004031638324931919,0.02972263449462768,0.02814340962966526,0.02814340962966526,3-Hold ,BUY,,C,Citigroup Inc.,Money Center Banks,USA,10.41,79.82,7161448.0,Tomorrow Before Market EPS,13.06,8.69,9.4,22.4,9.47,0.99,0.22,,2.28,0.8,2.4,,1.34,2.57,Jan 14/b,,1.34,50.9,23.3,,0.9,10.1,8.5,11690000.0,2180000000.0,0.9,0.1,0.0,79.9,-0.01,2210000000.0,1.67,10.42,4.58,15.49,-0.56,-0.8,40.41,2.0,1.67,1.24,1.24,-1.7,43.4,1.14,1.77,0.0,59.22,1.31,14.27,4.61,0.79,2.87,1
22,DAL,4.14%,January13,1,Services,38270000000.0,-0.1471005221203086,-0.020669063990862924,-0.02111786255943329,-0.027291368571477504,-0.027291368571477504,2-Buy ,BUY,,C,"Delta Air Lines, Inc.",Major Airlines,USA,8.3,59.47,2805716.0,Tomorrow Before Market EPS,12.14,2.92,-14.3,13.9,8.21,2.54,,6.2,0.83,0.68,3.3,0.3,0.67,2.72,Jan 14/b,54.2,0.53,13.7,10.2,0.3,7.6,33.9,17.3,5440000.0,644530000.0,2.78,0.1,-14.95,90.0,-0.11,646000000.0,3.29,-3.91,6.68,11.56,2.03,1.3,21.57,2.1,1.42,1.63,1.78,-6.24,28.19,1.05,1.1,-0.35,60.54,1.57,4.15,3.79,0.76,4.14,1
23,FRC,4.66%,January13,1,Financial,19470000000.0,0.13772969628662396,0.19669088846267185,0.004756842171900644,0.040562227777367565,-0.0015906951256593775,3-Hold ,HOLD,,B,First Republic Bank,Money Center Banks,USA,22.42,114.82,413805.0,Tomorrow Before Market EPS,7.7,4.44,9.2,5.6,21.51,2.31,5.91,23.72,5.61,2.91,17.5,,0.15,0.66,Jan 14/b,,0.15,72.3,23.7,,0.8,10.4,23.7,969990.0,166370000.0,6.85,0.3,0.0,,0.04,170360000.0,11.76,13.58,0.99,21.35,-2.86,-2.68,32.83,2.8,1.16,1.25,1.2,-3.03,37.24,1.52,0.91,0.13,48.0,-1.56,12.92,2.13,0.34,4.66,1
24,INFO,-1.31%,January13,1,Services,31350000000.0,0.05396401063098892,0.007842833704974813,-0.054967470034777456,0.0005267560220292782,0.004507318985172499,3-Hold ,BUY,,A,IHS Markit Ltd.,Business Services,United Kingdom,84.97,79.01,775498.0,Tomorrow Before Market EPS,11.74,10.88,1.9,-1.5,27.33,3.81,252.65,27.77,7.19,7.24,30.4,0.7,0.61,,Jan 14/b,62.0,0.61,21.0,8.7,0.7,2.4,4.6,4.5,1610000.0,373380000.0,3.33,0.3,-21.07,99.5,0.22,400630000.0,7.72,19.35,6.72,15.14,3.22,3.86,56.87,2.2,1.32,1.17,1.14,0.36,61.06,0.94,0.8,0.33,81.77,4.54,21.62,8.17,0.67,-1.31,0
25,JPM,2.10%,January13,1,Financial,431080000000.0,0.07290954282516396,-0.006368909501361486,-0.003696582875314701,-0.0068331272380874,-0.0068331272380874,2-Buy ,HOLD,,B,JPMorgan Chase & Co.,Money Center Banks,USA,13.39,135.93,4097435.0,Tomorrow Before Market EPS,6.32,1.61,15.7,31.5,12.77,1.84,0.39,,5.06,2.12,8.0,,1.26,2.65,Jan 14/b,,1.26,60.7,39.0,,1.2,14.2,8.2,10410000.0,3110000000.0,0.99,0.1,-5.82,74.7,0.11,3170000000.0,2.96,18.01,1.17,19.14,-1.64,-2.39,35.54,2.7,1.08,1.2,1.24,-3.73,38.49,1.85,1.16,0.04,48.38,-1.49,15.32,1.78,-0.21,2.1,1
26,LMNR,7.62%,January13,1,Consumer Goods,327750000.0,0.10121610717787917,,-0.041781022377108464,-0.0003393695172105384,0.09179165492189766,3-Hold ,BUY,,D,Limoneira Company,Farm Products,USA,,18.68,17370.0,Today After Market EPS,15.0,195.6,9.8,37.4,42.19,1.51,364.17,,2.19,,8.8,1.3,0.53,1.64,Jan 13/a,6.3,0.51,-7.7,-4.4,1.2,-1.7,-3.1,2.0,37810.0,15270000.0,5.7,1.9,-2.58,60.8,0.03,17900000.0,23.02,-6.01,-9.98,-0.65,-3.83,-4.78,-16.96,1.7,1.31,2.65,2.91,-27.17,9.56,0.52,0.98,3.11,42.43,-3.06,-5.8,-3.22,-1.06,7.62,1
27,WFC,-4.05%,January13,1,Financial,223010000000.0,0.15446047890327466,-0.06163467886799481,-0.07943255404322935,0.019954620392892385,-0.018892059523841445,3-Hold ,HOLD,,D,Wells Fargo & Company,Money Center Banks,USA,11.32,51.91,9584062.0,Tomorrow Before Market EPS,6.12,-5.27,2.1,19.2,12.17,1.33,0.56,176.86,3.31,1.85,6.5,,1.34,3.89,Jan 14/b,,1.34,68.4,31.3,,1.1,12.1,10.6,18180000.0,4219999999.9999995,0.96,78.23,0.0,77.9,-0.04,4250000000.0,2.22,10.85,-2.22,7.91,-1.72,-2.42,9.95,3.3,1.44,1.21,1.04,-5.22,19.73,0.7,1.1,-0.1,33.03,-3.14,6.1,-3.12,-1.07,-4.05,0
28,WIT,-2.93%,January13,1,Technology,20180000000.0,-0.2825200168632364,0.10050351891195533,0.019707359040088097,0.01919631693544943,0.051869349954772166,4-Sell ,SELL,,D,Wipro Limited,Information Technology Services,India,16.68,3.91,122630.0,Tomorrow Before Market EPS,9.0,5.46,4.7,20.8,15.42,3.17,4.41,14.17,2.4,1.85,6.2,2.4,0.22,0.26,Jan 14/b,29.4,0.06,18.0,16.6,2.4,12.0,17.9,11.2,1200000.0,1690000000.0,0.73,79.0,0.0,2.4,0.89,5210000000.0,10.36,-7.86,5.45,6.61,2.11,3.2,1.38,4.0,0.28,1.24,1.1,-15.35,11.54,0.05,0.54,0.78,63.93,3.13,-2.57,3.38,0.38,-2.93,0
29,BAC,-1.93%,January14,1,Financial,318000000000.0,0.07600898283162677,0.005122803416998068,0.011077757253133312,0.007514706762021888,0.007514706762021888,2-Buy ,BUY,,C,Bank of America Corporation,Money Center Banks,USA,12.92,35.53,27844316.0,Tomorrow Before Market EPS,7.4,11.0,23.6,49.9,11.66,1.33,0.43,,4.41,1.75,3.9,,1.93,2.05,Jan 15/b,,0.96,63.1,36.4,,1.1,10.7,5.3,45700000.0,8990000000.0,1.05,0.09,-0.6,71.9,-0.04,9070000000.0,2.06,19.99,4.22,21.27,0.6,-0.45,34.69,2.4,1.68,1.25,1.29,-0.49,38.79,0.46,1.58,0.63,62.96,1.46,17.84,5.0,0.75,-1.93,0
30,BBCP,-8.39%,January14,1,Industrial Goods,313600000.0,0.01957493700665509,0.0002916051780630369,0.001853358848165953,0.00413645115440886,0.0036788702236663093,3-Hold ,STRONG BUY,,D,"Concrete Pumping Holdings, Inc.",General Building Materials,USA,,5.6,31236.0,Today After Market EPS,,124.7,,,26.44,0.86,69.69,,1.18,,,0.7,1.32,,Jan 14/a,,1.16,,,0.6,,,,100750.0,7500000.0,9.31,26.56,0.0,53.0,0.04,57860000.0,6.93,2.85,20.44,51.82,7.75,-0.91,-39.08,1.2,0.85,5.42,5.96,-56.01,77.23,0.28,,1.29,66.6,7.58,19.13,23.97,2.0,-8.39,0
31,BLK,2.15%,January14,1,Financial,80900000000.0,-0.11478774249430898,-0.04760891243431616,-0.09333676960503344,-0.01108548463538265,-0.015487234725960662,2-Buy ,BUY,,D,"BlackRock, Inc.",Asset Management,USA,20.18,520.21,227327.0,Tomorrow Before Market EPS,6.05,11.39,9.5,15.7,16.9,2.51,17.56,,5.78,3.34,6.9,,0.18,2.52,Jan 15/b,81.3,0.18,37.6,29.3,,2.5,12.8,11.7,465080.0,148540000.0,0.97,1.1,-2.88,84.8,0.06,154650000.0,3.1,8.6,5.91,20.53,3.79,4.06,31.46,1.9,1.34,1.15,1.34,-0.47,33.21,6.63,1.55,-0.57,70.58,3.24,13.42,5.3,0.16,2.15,1
32,GS,0.92%,January14,1,Financial,87000000000.0,0.048449514921048834,-0.032128989876582636,0.0022953895723674127,-0.00690008765877792,-0.00690008765877792,3-Hold ,BUY,,C,"The Goldman Sachs Group, Inc.",Investment Brokerage - National,USA,11.63,247.38,1469770.0,Tomorrow Before Market EPS,3.64,9.98,9.2,21.5,10.21,1.12,0.92,,1.61,3.19,5.4,,7.15,2.04,Jan 15/b,60.6,2.83,20.3,15.7,,0.9,10.7,1.7,2390000.0,349250000.0,1.9,0.2,0.0,75.8,-0.18,354800000.0,2.78,15.89,10.86,19.8,4.81,6.65,38.59,2.4,1.72,1.29,1.34,0.54,42.13,3.59,1.34,0.04,78.33,6.27,18.29,9.94,0.87,0.92,0
33,PNC,-2.63%,January14,1,Financial,70850000000.0,0.15214606184017612,-0.0015335113055698455,0.024931834943534643,0.015996269263704715,0.007278875634747237,2-Buy ,HOLD,,B,"The PNC Financial Services Group, Inc.",Money Center Banks,USA,14.25,160.38,819528.0,Tomorrow Before Market EPS,6.1,4.87,7.7,35.3,13.39,1.43,2.87,15.55,5.15,2.34,4.7,,0.8,2.89,Jan 15/b,,0.8,68.4,36.9,,1.3,10.4,10.0,1670000.0,437320000.0,1.1,0.2,-27.92,83.4,0.14,444360000.0,2.86,13.72,2.86,13.56,0.59,-0.12,32.81,2.6,1.34,1.22,1.27,-0.8,36.98,2.07,1.11,-0.17,58.97,0.57,14.59,3.47,0.83,-2.63,0
34,UNH,2.81%,January14,1,Healthcare,269980000000.00003,0.09129493973196076,0.00023112413024743242,0.00328022613561748,0.012052092181534135,0.004551276874553878,3-Hold ,BUY,,C,UnitedHealth Group Incorporated,Health Care Plans,USA,20.79,287.54,1703344.0,Tomorrow Before Market EPS,13.63,9.75,17.3,28.3,17.38,4.93,21.84,30.33,1.13,1.53,13.1,,0.82,1.51,Jan 15/b,,0.7,8.0,5.6,,8.2,25.2,15.6,3600000.0,940890000.0,1.1,0.3,-2.09,88.2,-0.1,944490000.0,2.88,7.48,1.91,28.72,-1.96,-2.77,15.42,1.8,1.29,1.57,1.94,-4.19,38.15,4.9,0.67,-0.09,51.77,-1.76,15.16,3.17,0.64,2.81,1
35,USB,-2.91%,January14,1,Financial,89180000000.0,0.010367495292757666,0.06947235361367347,0.004411013748494953,0.003189463279189416,0.00863521133063235,3-Hold ,HOLD,,C,U.S. Bancorp,Regional - Midwest Banks,USA,13.03,56.99,2030249.0,Tomorrow Before Market EPS,4.9,1.85,6.6,39.3,12.85,1.88,5.84,17.09,5.08,2.66,5.7,,0.87,2.96,Jan 15/b,,0.87,66.5,39.6,,1.5,15.0,11.6,5610000.0,1560000000.0,1.09,0.1,-17.02,77.6,0.02,1570000000.0,3.03,6.76,-4.29,6.06,-1.73,-4.35,19.54,3.0,1.01,1.18,1.02,-6.73,21.59,0.74,1.09,-0.04,32.83,-3.32,4.46,-3.58,0.55,-2.91,0
